datasetID	asv	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	otu
SBDI-ASV-191208	ASVBAC000692	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000711	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC000757	Bacteria								
SBDI-ASV-191208	ASVBAC000766	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC000801	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC000830	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000836	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000851	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC000899	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000943	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC000955	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000965	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000969	Bacteria								
SBDI-ASV-191208	ASVBAC00997	Bacteria								
SBDI-ASV-191208	ASVBAC00998	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC002262	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC001041	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001124	Bacteria								
SBDI-ASV-191208	ASVBAC000120	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001216	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
